0,0,0,0,-1,0,0,0,0,1,-1,1
0,0,0,-1,0,-1,0,1,0,0,1,0
-2,1,1,1,0,1,0,-2,0,0,0,0
-2,1,-1,0,-1,0,0,0,2,1,0,0
-4,2,0,0,0,1,-1,0,0,0,1,1
0,0,0,0,-1,-1,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,-1,-1,1
-4,2,2,2,0,2,0,-4,0,0,0,0
-2,1,1,0,0,0,0,-1,0,0,1,0
-2,1,-1,1,0,0,0,0,2,-1,0,0
-2,1,1,0,1,1,0,0,-2,0,0,0
-4,2,0,0,1,1,0,0,0,0,1,-1
-2,1,-1,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,1,-1,-1
-2,1,-1,-1,0,0,0,2,0,1,0,0
-8,4,0,0,0,2,-2,0,0,0,2,2
0,0,0,1,1,0,1,0,0,-1,-1,-1
-4,2,2,1,0,1,0,-3,0,0,1,0
-6,3,3,3,0,3,0,-6,0,0,0,0
0,0,0,0,0,-1,1,0,1,0,0,-1
-4,2,0,0,0,1,0,0,0,1,0,0
-4,2,0,1,0,1,0,-1,1,0,0,0
-12,6,0,0,0,3,-3,0,0,0,3,3
-2,1,-1,0,1,0,0,2,0,-1,0,0
-6,3,1,1,0,2,0,-2,0,1,0,0
-2,1,1,0,0,0,0,0,-1,0,0,1
-4,2,0,-1,0,0,0,1,0,1,1,0
-8,4,0,0,2,2,0,0,0,0,2,-2
-8,4,4,4,0,4,0,-8,0,0,0,0
-6,3,3,2,0,2,0,-5,0,0,1,0
-6,3,1,2,0,2,0,-3,1,0,0,0
-16,8,0,0,0,4,-4,0,0,0,4,4
-4,2,0,1,1,1,0,0,0,-1,0,0
-4,2,0,0,1,1,0,1,-1,0,0,0
-8,4,0,0,0,2,-1,0,0,1,1,1
-4,2,2,0,0,0,0,-2,0,0,2,0
-4,2,0,0,0,0,0,0,1,0,1,0
-4,2,2,0,2,2,0,0,-4,0,0,0
-4,2,-2,0,0,0,0,2,2,0,0,0
-4,2,0,1,0,1,0,0,0,0,-1,1
-6,3,3,1,0,1,0,-4,0,0,2,0
-8,4,4,3,0,3,0,-7,0,0,1,0
-6,3,1,1,0,1,0,-2,1,0,1,0
-12,6,0,0,0,3,-2,0,0,1,2,2
-20,10,0,0,0,5,-5,0,0,0,5,5
-8,4,0,0,0,1,-1,0,1,0,2,1
-6,3,1,2,1,2,0,-2,0,-1,0,0
-4,2,0,0,1,0,0,1,0,-1,1,0
-8,4,2,2,0,3,0,-4,0,1,0,0
-8,4,0,0,1,2,0,0,0,1,1,-1
-8,4,2,3,0,3,0,-5,1,0,0,0
-4,2,0,0,-1,0,0,0,1,1,0,1
-8,4,0,1,1,2,-1,0,0,-1,1,1
0,0,0,0,0,-1,1,1,0,0,-1,0
-6,3,1,0,1,2,0,0,-2,1,0,0
-10,5,5,5,0,5,0,-10,0,0,0,0
-6,3,-1,0,0,1,0,1,1,1,0,0
