0,0,1,0,-1,0,-1,0,1,0
0,0,0,0,1,-1,0,0,-1,1
-4,2,1,-1,0,1,0,1,0,0
-4,2,0,0,0,1,0,1,1,-1
0,0,0,0,0,0,1,-1,-1,1
0,0,-1,1,1,-1,0,0,0,0
0,0,-1,1,0,0,1,-1,0,0
-8,4,0,0,0,2,0,2,2,-2
-4,2,0,0,1,0,0,1,0,0
-4,2,0,0,0,1,1,0,0,0
-8,4,2,-2,0,2,0,2,0,0
-8,4,0,0,1,1,0,2,1,-1
-12,6,0,0,0,3,0,3,3,-3
-8,4,1,-1,1,1,0,2,0,0
-8,4,0,0,0,2,1,1,1,-1
-4,2,0,0,1,0,1,0,-1,1
-12,6,3,-3,0,3,0,3,0,0
-8,4,1,-1,0,2,1,1,0,0
-4,2,1,0,-1,1,0,0,1,0
-4,2,-1,1,1,0,1,0,0,0
0,0,0,1,0,-1,0,-1,0,1
-4,2,1,0,0,0,-1,1,1,0
-4,2,1,0,0,0,0,0,0,1
-16,8,4,-4,0,4,0,4,0,0
-12,6,0,0,0,3,1,2,2,-2
-12,6,2,-2,0,3,1,2,0,0
-8,4,0,0,1,1,1,1,0,0
-8,4,0,0,0,2,2,0,0,0
-8,4,0,0,2,0,0,2,0,0
-12,6,2,-2,1,2,0,3,0,0
-16,8,0,0,0,4,0,4,4,-4
-4,2,0,1,0,0,0,0,1,0
-12,6,0,0,1,2,0,3,2,-2
-20,10,5,-5,0,5,0,5,0,0
-8,4,-1,1,1,1,2,0,0,0
-8,4,0,1,0,1,0,1,2,-1
-8,4,2,-1,0,1,0,1,0,1
-12,6,0,0,1,2,1,2,1,-1
-16,8,3,-3,0,4,1,3,0,0
-8,4,-1,1,2,0,1,1,0,0
-8,4,1,0,0,1,0,1,1,0
-16,8,0,0,1,3,0,4,3,-3
-8,4,1,0,1,0,-1,2,1,0
-12,6,0,0,0,3,2,1,1,-1
-12,6,0,0,2,1,0,3,1,-1
-12,6,1,-1,2,1,0,3,0,0
-8,4,0,0,2,0,1,1,-1,1
-8,4,0,0,1,1,2,0,-1,1
-8,4,1,0,-1,2,1,0,1,0
-12,6,1,-1,0,3,2,1,0,0
-12,6,1,-1,1,2,1,2,0,0
-4,2,0,1,1,-1,0,0,0,1
-16,8,0,0,0,4,1,3,3,-3
-20,10,0,0,0,5,0,5,5,-5
-16,8,3,-3,1,3,0,4,0,0
-4,2,0,1,0,0,1,-1,0,1
-8,4,2,0,-2,2,0,0,2,0
-20,10,0,0,1,4,0,5,4,-4
-8,4,1,0,0,1,1,0,0,1
-20,10,4,-4,1,4,0,5,0,0
-8,4,0,1,1,0,0,1,1,0
-12,6,0,1,0,2,0,2,3,-2
-8,4,0,0,2,0,2,0,-2,2
-12,6,0,0,2,1,1,2,0,0
-8,4,2,0,0,0,-2,2,2,0
